,cid,smiles,NR3C1
250,3683,CN(C(CN1CCCC1)c2cccc(OCC(=O)O)c2)C(=O)Cc3ccc(Cl)c(Cl)c3,0
251,24041599,CC(=C)[C@H]1[C@H]2OC(=O)C1[C@]3(O)CC4O[C@]45C(=O)O[C@H]2[C@]35C,0
252,16404350,CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,0
253,3474,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,0
254,5720188,CC(C)C(N1C(=S)S\C(=C/c2ccc(Br)cc2)\C1=O)C(=O)O,0
255,44142100,COc1ccc(cc1OC2CCOC2)C3=Nn4c(SC3)nnc4c5ccccc5Cl,0
256,119584,CCOc1cc(N)c(Cl)cc1C(=O)NCC2CN(Cc3ccc(F)cc3)CCO2,0
257,3689415,COc1cccc(c1)N(C(C(=O)NCCc2ccccc2)c3cccs3)C(=O)CCl,0
258,2793096,COc1ccc(NC(=O)c2ccc(OC(C)C(=O)O)cc2)cc1Cl,0
259,2176,CCOC(=O)OC(C)OC1=C(N(C)S(=O)(=O)c2ccccc12)C(=O)Nc3ccccn3,0
260,2724,NC(=O)OCC(O)COc1ccc(Cl)cc1,0
261,10071166,CCCCC1(Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O)C3CCCC3,0
262,1204,Clc1ccc(cn1)C2CC3CCC2N3,0
